"Proposal #","Project Title","PI","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","PI Unit","sponsor type","Sponsor Org Type","Created Date","Total Sponsor Costs","Sponsor Deadline","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Funded","Not Funded","Submitted to Sponsor","Under Consideration","Total_submitted_to_sponsor","First_Proposal_Submission_Date","First_Federal_Grant_Submission_Date"
"25-0476-P0001","Communicating wildlife science to students and stakeholders","Kevin L. Monteith","Submitted to Sponsor","Wyoming Game and Fish Department",NA,"Haub School of Environment & Natural Resources","1/1/2024","12/30/2024","New",NA,"25-0476","Haub School of Environment & Natural Resources","Wyoming State Governmental Entities",NA,"1/22/2025 12:26:56 pm","16000","1/31/2025","Communicating wildlife science to students and stakeholders","Status was changed from: Under Review to Approved > Certified > Status was changed from: In Development to Under Review > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Review to In Development > Proposal Created","Farrell Jean Rapp > Kevin L. Monteith > Thomas Abraham Lentner","1/31/2025 01:16:38 pm > 1/31/2025 10:06:45 am > 1/30/2025 10:04:46 am > 1/31/2025 02:43:04 pm > 1/24/2025 02:06:05 pm > 1/27/2025 01:00:35 pm > 1/22/2025 12:26:56 pm","Submitted 01/31/2025 at 2:30pm > Requesting update from Project Team",NA,NA,"AP batched approved IDC limitation on the WGBGLC proposals. > Passes pre-award checks","1/31/2025 01:16:38 pm > 1/31/2025 10:44:50 am > 1/31/2025 10:06:45 am > 1/31/2025 10:44:55 am > 1/30/2025 10:04:59 am","Approved > Certified",NA,"16000","0","16000",NA,"Yes",2025-01-31 14:43:04,NA,"FY2025","250476A0001",NA,NA,"Haub School of Environment & Natural Resources",0,0,1,0,1,"07/26/2023","02/06/2024"
"23-1765-P0001","Communication Design for the Maryland Health Care Commission's FY2022 & FY2023 Annual Reports to the Governor","Janelle Simpson","Not Funded","State of Maryland",NA,"Wyoming Survey & Analysis Center","10/19/2022","12/31/2023","New",NA,"23-1765","Wyoming Survey & Analysis Center","Other State and Local Governmental Entities",NA,"6/23/2023 03:21:29 pm","48345","10/7/2022","Communication Design for the Maryland Health Care Commission's FY2022 & FY2023 Annual Reports to the Governor","Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded > Proposal Created > Status was changed from: In Development to Submitted to Sponsor","Farrell Jean Rapp > Tashina Lemons","12/23/2024 10:24:43 am > 6/23/2023 03:21:29 pm > 3/12/2024 09:48:56 am","Assuming not funded, as it’s been over 12 months since submission with no updates. > FY23 legacy data, Greensheet attached, previously submitted to sponsor 10/7/22",NA,"Not Funded",NA,NA,"Not Completed",NA,"36086","12259","48345",NA,"Yes",2024-03-12 09:48:56,NA,"FY2024","231765A0001",NA,NA,"Research",0,1,0,0,1,"03/12/2024",NA
"23-1508-P0001","Community Health Assessment Survey","Michael D. Dorssom","Funded","University of Utah","National Cancer Institute/National Institutes of Health/Department of Health and Human Services","Wyoming Survey & Analysis Center","9/1/2022","4/30/2023","New",NA,"23-1508","Wyoming Survey & Analysis Center","Institutions of Higher Education",NA,"5/2/2023 01:55:52 pm","87768.62","11/30/2022","Community Health Assessment Survey, 2022","Status was changed from: Submitted to Sponsor to Funded > Proposal Created > Status was changed from: In Development to Submitted to Sponsor","Ashley Schnell","5/2/2023 02:33:18 pm > 5/2/2023 01:55:52 pm > 5/2/2023 02:31:47 pm","Funded, notice 3/6/2023 > Submitted to sponsor 1/24/2023",NA,NA,NA,"5/2/2023 02:09:36 pm","Not Yet Active > Cancelled",NA,"73140.52","14628.1","87768.62","A Subrecipient","No",2023-05-02 14:31:47,"2023-05-02 14:33:18","FY2023","231508A0001",NA,NA,"Research",1,0,0,0,1,"05/02/2023",NA
"24-0862-P0001","Community Health Needs Assessment (CHNA) | Albany Care Team - Tablets","Joshua Wesley Holland","Funded","Ivinson Memorial Hospital",NA,"University Police","2/1/2024","6/30/2024","New",NA,"24-0862","University Police","Non-Profit Organizations",NA,"2/29/2024 02:37:10 pm","304.96","2/1/2024","Albany Care Team - Tablets","Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Certified > Status was changed from: In Development to Under Review > Proposal Created > Status was changed from: Under Review to In Development > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Under Consideration to Funded","Thomas Abraham Lentner > Courtney Peatross > Joshua Wesley Holland > Brenda A. Aguirres > Farrell Jean Rapp","3/12/2024 04:03:15 pm > 3/11/2024 06:51:51 am > 3/12/2024 04:02:59 pm > 3/6/2024 05:51:40 am > 2/29/2024 03:08:10 pm > 2/29/2024 02:37:09 pm > 3/5/2024 03:50:09 pm > 3/4/2024 01:03:27 pm > 3/18/2024 09:33:20 am > 3/5/2024 03:50:18 pm > 3/4/2024 01:27:06 pm > 3/4/2024 01:22:47 pm","Draft Agreement Attached > Agreement is pending signature.  Sponsor intends to fund this project.  See attachments. > ASO updated approver for UWPD.  Taking back to development so that approval queue can reset > Funded. > No approver for University Police.  Taking back to development for TD ticket to fix approval chain",NA,NA,"Approved.","3/5/2024 03:50:27 pm > 3/4/2024 01:20:35 pm > 3/11/2024 06:51:52 am > 3/6/2024 05:51:40 am > 3/6/2024 05:52:25 am > 3/9/2024 09:25:22 am","Approved > Certified",NA,"304.96","0","304.96",NA,"Yes",2024-03-12 16:02:59,"2024-03-18 09:33:20","FY2024","240862A0001",NA,NA,NA,1,0,0,0,1,"03/12/2024",NA
"24-1063-P0001","Community Satisfaction Related to Lesser Prairie Chicken Conservation","Kristie Anne Maczko","Funded","Natural Resources Conservation Service/Department of Agriculture",NA,"Ecosystem Science & Management","9/3/2024","8/31/2029","New",NA,"24-1063","Ecosystem Science & Management","U.S. Federal Government",NA,"6/2/2024 10:51:54 am","250000","7/12/2024","Community Satisfaction Related to Lesser Prairie Chicken Conservation in Kansas, New Mexico, Oklahoma, and Texas","Status was changed from: Submitted to Sponsor to Funded > Certified > Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Review to In Development > Assigned to SP Proposal Administrator: John Ruess","Farrell Jean Rapp > Kristie Anne Maczko > Thomas Abraham Lentner > Aaron Harp > John Ruess > Inna Willis > David T Taylor","9/24/2024 03:33:21 pm > 7/10/2024 01:13:31 pm > 6/2/2024 10:51:53 am > 7/10/2024 12:59:09 pm > 7/5/2024 03:27:33 pm > 7/10/2024 08:27:59 pm > 7/11/2024 07:40:14 am > 7/24/2024 09:16:18 am > 7/10/2024 12:09:46 pm > 6/13/2024 03:37:28 pm > 7/10/2024 02:23:29 pm","Awarded. > submitted > Moving to development to update form fields",NA,NA,"Passes pre-award checks.  Ready for approval.  Signed forms due FRIDAY 07/12/2024 > Please note credit allocations don't all add up","7/11/2024 07:03:52 am > 7/10/2024 01:03:39 pm > 7/11/2024 07:03:57 am > 7/10/2024 02:23:29 pm > 7/11/2024 07:40:14 am > 7/10/2024 01:13:31 pm > 7/10/2024 08:27:59 pm > 7/11/2024 07:03:48 am","Approved > Certified",NA,"227273","22727","250000",NA,"Yes",2024-07-24 09:16:18,"2024-09-24 15:33:21","FY2025","241063A0001",250000,"10MTDC1","College of Agriculture, Life Sciences & Natural Resources",1,0,0,0,1,"06/14/2023","05/29/2024"
"23-1546-P0001","Community Support Grant: Terry Maker Artist Residency","Michelle Lee Sunset","Funded","Wyoming Arts Council",NA,"University Art Museum","7/1/2023","6/30/2024","New",NA,"23-1546","University Art Museum","Wyoming State Governmental Entities",NA,"6/2/2023 01:17:44 pm","7200","4/14/2023","Terry Maker Community Art-Making Collaboration","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Assigned to SP Proposal Administrator: Shauna Bury > Status was changed from: Submitted to Sponsor to Funded","Bryce Howard > Farrell Jean Rapp > Tashina Lemons","6/2/2023 01:17:44 pm > 9/18/2023 01:45:50 pm > 6/12/2023 02:21:26 pm > 9/18/2023 01:45:57 pm","Legacy. Greensheet. > Funded.",NA,NA,NA,"9/18/2023 01:45:14 pm","Cancelled > Not Yet Active","7200","7200","0","14400",NA,"Yes",2023-09-18 13:45:50,"2023-09-18 13:45:57","FY2024","231546A0001",NA,NA,"Provost",1,0,0,0,1,"09/18/2023",NA
"25-0001-P0001","Comparative Effectiveness of In-Person vs. Technology-Delivered Community Health Worker SUD Programs","Jacob Warren","Not Funded","Patient-Centered Outcomes Research Institute","Patient-Centered Outcomes Research Institute","Kinesiology & Health",NA,NA,"Other",NA,"25-0001","Kinesiology & Health","Non-Profit Organizations",NA,"7/2/2024 09:29:43 am",NA,"6/3/2024","Comparative Effectiveness of In-Person vs. Technology-Delivered Community Health Worker SUD Programs","Status was changed from: In Development to Closed. Resolution set to: Not Funded > Proposal Created","Farrell Jean Rapp","7/2/2024 09:34:02 am > 7/2/2024 09:29:42 am","LOI was not invited to submit an application.",NA,"Not Funded",NA,NA,"Not Completed",NA,NA,NA,NA,"A Subrecipient","Yes",NA,NA,NA,"250001A0001",NA,NA,"College of Health Sciences",0,1,0,0,1,"09/16/2024",NA
"24-0968-P0001","Comparative Effectiveness of Two Behavioral Health Interventions for Autistic Youth","Eric J Moody","Submitted to Sponsor","University of California, Los Angeles","Patient-Centered Outcomes Research Institute","Wyoming Institute for Disabilities WIND","4/1/2024","3/31/2030","New",NA,"24-0968","Wyoming Institute for Disabilities WIND","Institutions of Higher Education",NA,"4/22/2024 12:16:34 pm","405966","5/7/2024","Comparative effectiveness of two behavioral health interventions for autistic youth","Proposal Created > Certified > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Status was changed from: Approved to Submitted to Sponsor > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved","Tashina Lemons > Canyon Leigh Hardesty > Eric J Moody > John Ruess > Farrell Jean Rapp","4/22/2024 12:16:34 pm > 4/22/2024 02:44:05 pm > 4/22/2024 01:37:12 pm > 4/22/2024 01:34:55 pm > 4/22/2024 01:34:33 pm > 5/10/2024 12:13:03 pm > 4/24/2024 04:09:39 pm > 4/25/2024 03:07:24 pm","submitted",NA,NA,NA,"4/22/2024 01:34:42 pm > 4/23/2024 08:38:25 am > 4/25/2024 02:49:53 pm > 4/22/2024 01:37:12 pm > 4/22/2024 02:44:05 pm > 4/23/2024 08:38:04 am > 4/25/2024 03:07:25 pm","Approved > Certified",NA,"302960","103006","405966","A Subrecipient","No",2024-05-10 12:13:03,NA,"FY2024","240968A0001",NA,NA,"College of Health Sciences",0,0,1,0,1,"09/06/2023","09/06/2023"
"24-0079-P0001","Comparison of Dry Bean Lines for Drought Tolerance","James J. Heitholt","Funded","Wyoming Bean Commission",NA,"Plant Sciences","6/8/2023","4/30/2024","New",NA,"24-0079","R&E Center Powell","Wyoming State Governmental Entities",NA,"7/20/2023 09:36:17 am","16891","2/28/2023","Comparison of Commercial Dry Bean Cultivars and Experimental Breeding Lines Grown under Deficit and Full Irrigation using Sprinkler Delivery","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Kristi Stockdale > Farrell Rapp","7/20/2023 09:36:17 am > 7/20/2023 12:06:46 pm > 7/20/2023 12:06:56 pm","Legacy Submission. > Award Received.",NA,NA,NA,"7/20/2023 09:52:12 am","Cancelled > Not Yet Active",NA,"16891","0","16891",NA,"Yes",2023-07-20 12:06:46,"2023-07-20 12:06:56","FY2024","240079A0001",NA,NA,NA,1,0,0,0,1,"07/20/2023",NA
"23-1790-P0001","Competency-based education for Practice-Ready Nurse Graduates","Nancy Nicole Eisenmann","Not Funded","ADD NEW",NA,"School of Nursing","1/1/2023","12/31/2024","New",NA,"23-1790","School of Nursing","Non-Profit Organizations",NA,"6/26/2023 08:19:04 am","100000","11/4/2022","Competency-based education for Practice-Ready Nurse Graduates","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Tashina Lemons > Thomas Abraham Lentner > Farrell Jean Rapp","6/26/2023 08:19:03 am > 3/15/2024 01:32:06 pm > 12/23/2024 10:34:12 am","Submitted in Nov of 2022 > Assuming not funded, as it’s been over 12 months since submission with no updates.",NA,"Not Funded",NA,NA,"Not Completed",NA,"90909","9091","100000",NA,"Yes",2024-03-15 13:32:06,NA,"FY2024","231790A0001",NA,NA,NA,0,1,0,0,1,"03/15/2024",NA
"24-0885-P0001","Compilation of Data and Trends of the Cody Area Economy","Alexander Specht","Funded","Forward Cody",NA,"College of Business Subdivision","2/1/2024","3/31/2024","New",NA,"24-0885","COB Centers for Excellence","Industry","Non-Profit","3/8/2024 03:01:01 pm","3350","3/15/2024","Compilation of Data and Trends of the Cody Area Economy","Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Submitted to Sponsor to Funded > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Consideration to Submitted to Sponsor > Proposal Created > Status was changed from: Under Review to Approved > Assigned to SP Proposal Administrator: Courtney Peatross > Form was edited in 'Funded' status > Certified","Courtney Peatross > Farrell Jean Rapp > David M. Aadland > Alexander Specht","3/11/2024 01:49:40 pm > 3/21/2024 03:39:45 pm > 3/11/2024 09:01:33 am > 3/11/2024 08:32:25 am > 3/11/2024 01:49:31 pm > 3/21/2024 03:38:50 pm > 3/8/2024 03:01:00 pm > 3/11/2024 11:59:44 am > 3/11/2024 08:22:26 am > 12/11/2024 05:38:20 pm > 3/11/2024 09:55:38 am > 3/8/2024 05:05:16 pm","Agreement under review. > Funded. > Updating proposal form. > Agreement received. > Trying to move to funded status.",NA,NA,"Routing for approvals.","3/11/2024 11:59:44 am > 3/11/2024 09:57:27 am > 3/11/2024 09:01:51 am > 3/11/2024 10:20:08 am > 3/11/2024 09:55:38 am","Approved > Certified",NA,"2500","850","3350",NA,"Yes",2024-03-21 15:38:50,"2024-12-11 17:38:20","FY2024","240885A0001",NA,NA,"College of Business",1,0,0,0,1,"09/28/2023",NA
"25-0128-P0001","Complexity building strategy through tandem ring-opening / ring-closing / cross metathesis for total synthesis of millipede indolizidine alkaloids and biological studies","Takashi L. Suyama","Submitted to Sponsor","National Science Foundation",NA,"Chemistry","1/1/2026","12/31/2028","New",NA,"25-0128","Chemistry","U.S. Federal Government",NA,"9/11/2024 09:06:02 am","350589","9/30/2024","Complexity building strategy through tandem ring-opening / ring-closing / cross metathesis for total synthesis of millipede indolizidine alkaloids and biological studies","Status was changed from: In Development to Under Review > Form was edited in 'Under Review' status > Status was changed from: Under Review to In Development > Certified > Proposal Created > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Review to Approved","Kayleigh Ann Edgar > Farrell Jean Rapp > Takashi L. Suyama","9/24/2024 02:45:54 pm > 9/25/2024 09:40:04 am > 9/20/2024 10:25:08 am > 9/25/2024 07:48:55 am > 9/11/2024 09:06:01 am > 9/30/2024 12:09:17 pm > 9/18/2024 04:23:08 pm > 9/25/2024 09:40:46 am","updating fields > Submitted to NSF via research.gov 9/30/2024",NA,NA,"Passes pre-award checks.","9/25/2024 08:31:51 am > 9/25/2024 08:59:05 am > 9/25/2024 09:40:46 am > 9/25/2024 02:07:22 am > 9/25/2024 07:48:55 am","Approved > Certified",NA,"258853","91736","350589",NA,"Yes",2024-09-30 12:09:17,NA,"FY2025","250128A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,1,"09/30/2024","09/30/2024"
"25-0163-P0001","Comprehensive Analysis of Causes and Consequences of Food Price Inflation","Vardges Hovhannisyan","Submitted to Sponsor","Texas Tech University","National Institute of Food and Agriculture/Department of Agriculture","Agriculture & Applied Economics","6/1/2025","5/31/2030","New",NA,"25-0163","Agriculture & Applied Economics","U.S. Federal Government",NA,"9/23/2024 03:21:56 pm","195000","10/1/2024","Comprehensive Analysis of Causes and Consequences of Food Price Inflation","Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Under Review to Approved > Certified > Status was changed from: In Development to Under Review > Proposal Created","John Ruess > Farrell Jean Rapp > Vardges Hovhannisyan","9/26/2024 01:17:17 pm > 9/26/2024 09:11:39 am > 9/26/2024 09:05:18 am > 9/24/2024 08:11:58 am > 9/23/2024 03:21:55 pm","Submitted to Sponsor via email",NA,NA,NA,"9/26/2024 09:11:39 am > 9/26/2024 09:05:59 am > 9/26/2024 09:06:04 am > 9/26/2024 09:05:18 am > 9/24/2024 08:12:06 am","Approved > Certified",NA,"134948","60052",NA,"A Subrecipient","No",2024-09-26 13:17:17,NA,"FY2025","250163A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,0,1,0,1,"06/16/2023","06/16/2023"
"24-0928-P0001","Comprehensive Aquifer and Surface Water Coordination to Aid Decision-making Efficiency and Equity (CASCADE2)","Kristiana Marie Hansen","Not Funded","National Science Foundation",NA,"Agriculture & Applied Economics","1/1/2025","12/31/2029","New",NA,"24-0928","Agriculture & Applied Economics","U.S. Federal Government",NA,"4/6/2024 04:51:35 pm","2400000","5/15/2024","Comprehensive Aquifer and Surface Water Coordination to Aid Decision-making Efficiency and Equity (CASCADE2)","Status was changed from: Approved to Submitted to Sponsor > Certified > Status was changed from: In Development to Under Review > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded > Proposal Created > Status was changed from: Under Review to Approved > Assigned to SP Proposal Administrator: Kasi Smart","Kasi Smart > Martha C. Inouye > Anne K. Houseal > Shannon E. Albeke > Andrew David Parsekian > Farrell Jean Rapp > Kristiana Marie Hansen > Fabian Nippgen > Thomas Abraham Lentner > Tashina Lemons","5/15/2024 03:02:33 pm > 5/10/2024 07:51:17 am > 5/9/2024 03:20:33 pm > 5/9/2024 03:22:51 pm > 5/9/2024 07:05:49 pm > 5/9/2024 03:03:02 pm > 11/13/2024 08:06:35 am > 5/9/2024 03:06:07 pm > 4/6/2024 04:51:35 pm > 5/9/2024 09:49:46 pm > 5/10/2024 04:02:04 pm > 4/8/2024 09:56:23 am","submitted > Not Funded per notice from Sponsor. > Approval authorized by FJR due to routing error with retired department director.",NA,"Not Funded",NA,"5/10/2024 08:20:56 am > 5/10/2024 07:53:04 am > 5/10/2024 08:41:59 am > 5/10/2024 08:20:05 am > 5/9/2024 03:22:51 pm > 5/9/2024 03:20:33 pm > 5/9/2024 03:06:07 pm > 5/9/2024 09:49:46 pm > 5/10/2024 08:20:52 am > 5/10/2024 07:59:32 am > 5/9/2024 07:05:49 pm > 5/9/2024 03:03:32 pm > 5/10/2024 11:33:59 am > 5/10/2024 08:27:04 am > 5/10/2024 07:51:17 am","Approved > Not Completed > Certified",NA,"1685694","714306","2400000","A collaborative proposal","No",2024-05-15 15:02:33,NA,"FY2024","240928A0001",NA,NA,"College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,1,"09/07/2023","09/07/2023"
