Award #,Project Title,Obligated Amount,Total Expected Amount,Direct Costs,expected direct,expected indirect,Indirect Costs,Total Project Cost
23-1344-A0001-1,Invasive Annual Grass Tech Transfer Partnership: Empowering Land Manager to Defend and Grow Sagebrush Cores (USFWS),300000,300000,258350,258350,41650,41650,300000
23-0097-A0001,Implementation of the SHRP2 Naturalistic Driving Study Research Results into Connected Variable Speed Limit System (Federal),357416.25,,,,,,
24-0048-A0001,New tank mixes for leafy surge control,5500,5500,5238,5238,262,262,5500
24-0579-A0001-0,Advancing the Role of Pharmacy in Tobacco Cessation,13695,13695,12681,12681,1015,1015,13695
24-0579-A0001-1,Advancing the Role of Pharmacy in Tobacco Cessation,13695,13695,12681,12681,1015,1015,13695
23-0420-A0001,Wyoming Technology Transfer Center (T2) 2020 - Federal Portion,214670.66,,,,,,
23-1274-A0001-0,Wyoming Technology Transfer Center 2022,218750,,,,,,
23-1274-A0001-1,Wyoming Technology Transfer Center 2022,218750,250000,,,,,250000
23-0810-A0001-0,Using stable isotopes of fish eye lenses to understand life history,20000,,,,,,
23-0810-A0001-1,Using stable isotopes of fish eye lenses to understand life history,20000,20000,20000,20000,0,0,20000
23-0810-A0001-2,Using stable isotopes of fish eye lenses to understand life history,20000,20000,20000,20000,0,0,20000
23-0810-A0001-3,Using stable isotopes of fish eye lenses to understand life history,20000,20000,20000,20000,0,0,20000
24-0058-A0001-0,Unitization Law and Policy Study,17823.82,17823.82,12334.83,12334.83,5488.99,5488.99,17823.82
24-0058-A0001-1,Unitization Law and Policy Study,17823.82,17823.82,12334.83,12334.83,5488.99,5488.99,17823.82
23-1514-A0001,Developing Tools to Mitigate the Impact of Design Errors and Omissions,133802,133802,111502,111502,22300,22300,133802
23-0861-A0005,New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP),45000,45000,33582,33582,11418,11418,65000
24-0568-A0001,FY24 5339 Capital Assistance: ADA Van,89250,89250,89250,89250,0,0,105000
23-0513-A0001,Climate change Vulnerability assessment for rare species and unique ecosystems in the Black Hills and Bear Lodge Mountains,54000,,,,,,
24-0726-A0001-0,Phlox pungens (Prickly phlox) Taxonomy and Status,48469.74,48469.74,41250.84,41250.84,7218.9,7218.9,48469.74
24-0726-A0001-1,Phlox pungens (Prickly phlox) Taxonomy and Status,48469.74,48469.74,41250.84,41250.84,7218.9,7218.9,48469.74
23-1800-A0001,Identifying genetic ancestry of Big Sandy River Flannelmouth and Bluehead suckers,188182,188182,156818,156818,31364,31364,188181.26
23-0562-A0001-0,Pollinator Surveys on the Bridger-Teton National Forest,28500,,,,,,
23-0562-A0001-1,Pollinator Surveys on the Bridger-Teton National Forest,30000,30000,,,,,
23-0877-A0001,Embedding Metacognition into Introductory Biology Courses,10000,,,,,,
24-0549-A0001-0,PIPP Phase II: Theme 4: Human Systems - The Center for Analysis and Prediction of Pandemic Expansion (APPEX),14083,87133,9746.02,60299.65,26833.35,4336.98,87133
24-0549-A0001-1,PIPP Phase II: Theme 4: Human Systems - The Center for Analysis and Prediction of Pandemic Expansion (APPEX),14083,87133,9746.02,60299.65,26833.35,4336.98,87133
23-0865-A0002-0,"Powder River Basin CORE-CM: Advancing Strategies for Carbon Ore, Rare Earth Element, and Critical Mineral Resource Development in the Nation's Largest Coal Producing Basin",2084438,225000,1529749,,,554689,2084438
23-0865-A0002-1,"Powder River Basin CORE-CM: Advancing Strategies for Carbon Ore, Rare Earth Element, and Critical Mineral Resource Development in the Nation's Largest Coal Producing Basin",225000,225000,187500,,,46875,225000
23-0865-A0002-2,"Powder River Basin CORE-CM: Advancing Strategies for Carbon Ore, Rare Earth Element, and Critical Mineral Resource Development in the Nation's Largest Coal Producing Basin",225000,225000,187500,,,46875,225000
23-0747-A0001,Inter- and Intra-Annual Use of Maternal Roosts by Female Northern Long-Eared Bats,3500,,,,,,
23-0874-A0001,Direct Student Loans 2021-2022,33567323,,,,,,
23-1165-A0002-0,Western SARE Professional Development Program Administrative Subaward,120814,120814,109831,109831,10983,10983,348128
23-1165-A0002-1,Western SARE Professional Development Program Administrative Subaward,483256,483256,439324,439324,43932,43932,483256
23-0988-A0001,Current and Future Economic Impacts of Invasive Weeds in Wyoming - A Pilot Study,30000,,,,,,
24-0213-A0001,Overcoming Catastrophic Forgetting and Rapidly Adapting via Selective Plasticity Driven by Diffusion-Based Neuromodulation,906857,,,,,,
23-0116-A0001,NASA EPSCoR: Advanced Optical Measurements of Ice Adhesion on Icephobic Aircraft Surfaces,749302.82,,,,,,
24-0718-A0001,Spatial Patters of Biodiversity - Raynes,4512,4512,4512,4512,0,0,4512
23-0721-A0001,"Updating and Implementing the Grade Severity Rating System (GSRS) for Wyoming Mountain Passes, Phase 2",79565,,,,,,
23-0207-A0001-0,Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR-UP Wyoming) - Operating 2018-2019,17735051.4,,,,,,
23-0207-A0001-1,Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR-UP Wyoming) - Operating 2018-2019,24010000,,22231482,,,1778518,
23-0207-A0001-2,Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR-UP Wyoming) - Operating 2018-2019,24010000,24010000,22231482,22231482,1778518,1778518,
24-0679-A0001,Evaluate the genetic structure of small (<28”) Lake Trout and trophy (>28”) Lake Trout in Flaming Gorge Reservoir,4996,4996,4163,4163,833,833,4995.41
23-0684-A0001,Classification of Cloud Particle Imagery and Thermodynamics (COCPIT): A New Databasing Tool for the Characterization of Cloud Particle Images Captured During DOE Field Campaigns,57792.88,,,,,,
23-1096-A0001-0,June Bearing Strawberry Production in High Tunnels,11500,,,,,,
23-1096-A0001-1,June Bearing Strawberry Production in High Tunnels,11500,,11500,,,0,15000
23-1733-A0001-0,NRCS and WYNDD data and information exchange 2022-2024,10000,10000,9090.91,9090.91,909.09,909.09,10000
23-1733-A0001-1,NRCS and WYNDD data and information exchange 2022-2024,30000,30000,27272.72,27272.72,2727.28,2727.28,30000
23-1552-A0001,EPSCoR Research Infrastructure Improvement (RII) Track-4: EPSCoR Research Fellows,300000,300000,212063,212063,87937,87937,300000
23-0509-A0001-0,Environmental pathways of chronic wasting disease transmission,246400,,,,,,
23-0509-A0001-1,Environmental pathways of chronic wasting disease transmission,246400,,,,,,
23-1454-A0002-0,AmeriCorp ServeWyoming FY 2022,8000,8000,6667,6667,1333,1333,8000
23-1454-A0002-1,Extension AmeriCorp ServeWyoming ,8000,8000,6667,6667,1333,1333,8000
23-1129-A0001,Investigating the Relationship Between an Intelligent Trunk Exoskeleton and Its Wearer on a Basis for Improved Assistance and Rehabllltatlon,102275,,,,,,
23-1446-A0001-0,NSF I-Corps Hub (Track 2): Great Plains Region,117737,,,,,,
23-1446-A0001-1,NSF I-Corps Hub (Track 2): Great Plains Region,117737,262737,,,,,262737
23-1446-A0001-2,NSF I-Corps Hub (Track 2): Great Plains Region,262737,817053,218603,635157,181896,44134,817053
24-0919-A0002,"FY25 Operating, Administration, and Maintenance Grant Request from WYDOT",2149255,2149255,2149255,2149255,0,0,3515305
23-1468-A0001,Investigating the influence of breeding habitat and disease in a declining population of boreal toads,2500,,,,,,
23-1666-A0001,Proposal for 2024 Cotton in the Curriculum Program,33693,33693,33693,33693,0,0,$33693
23-0605-A0001,GRPL-CESU: Northern Long Eared Bat Maternity Roost Use and Selection - MORU,232400,,,,,,
23-0539-A0001,MRI: Acquisition of a High Pressure and Temperature True Triaxial Testing Equipment with a Multiphase Fluid Flow System,794593,,,,,,
23-0037-A0001,State Water Resources Research Institute Program:  Wyoming Water Research Program (Section 104B of the Water Resources Research Act of 1984 as amended),494340.1,,,,,,
23-0858-A0001,"Statewide mapping of elk, mule deer, and pronghorn winter ranges, movement corridors and stopover locations",52446.23,,,,,,
24-1098-A0001-0,Project Based Learning,20000,175000,20000,175000,0,0,175000
24-1098-A0001-1,Project Based Learning,175000,175000,175000,175000,0,0,175000
23-1315-A0001,Staff Retention - ARPA Funds Passthrough,155430,,,,,,
23-1205-A0001,WY FY22 Biocontrol,14509,,,,,,
23-1324-A0001,Light Detection and Ranging Plot Validation,118000,,,,,,
23-1378-A0001,Swift Fox Ecology Project 004785,22500,,,,,,
23-0141-A0001,Deer-Elk Ecology Project - Year 2,145000,,,,,,
24-0153-A0001,American Society of Mammologist's Award,1750,1750,1750,1750,0,0,1750
24-0363-A0001-0,McNair Scholars Program ,342835,1714175,322018,1610090,104085,20817,1714175
24-0363-A0001-1,McNair Scholars Program ,699383,1727888,655055,1621109,106779,44328,1727888
24-0363-A0001-2,McNair Scholars Program ,1055931,1727888,991414,1621109,106779,64517,1727888
25-0370-A0001,American Heritage Center: Wyoming History in Seventy-six objects for State's Semiquincentennial Celebration,31000,31000,31000,31000,0,0,31000
24-0875-A0001,Low Temperature Production of High Value Nanomaterials from Coal,80011,80011,58721,68721,21290,21290,80011
23-0433-A0001,Collaborative Research: 4D Visualization and Modeling of Two-Phase Flow and Deformation in Porous Media beyond the Realm of Creeping Flow,135316,,,,,,
24-0705-A0001-0,Data Wrangling with R - NCTC May 2023,8500,8500,6343.28,6434.28,2156.72,2156.72,8500
24-0705-A0001-1,Data Wrangling with R - NCTC May 2023,8500,8500,6343.28,6434.28,2156.72,2156.72,8500
24-0015-A0001-0,Managing Sage-Grouse and Wind Energy in Wyoming,326848.08,326848.08,283689.94,283689.94,43158.14,43158.14,1361383
24-0015-A0001-1,Managing Sage-Grouse and Wind Energy in Wyoming,326848.08,326848.08,283689.94,283689.94,43158.14,43158.14,1361383
24-0015-A0001-2,Managing Sage-Grouse and Wind Energy in Wyoming,326848.08,326848.08,283689.94,283689.94,43158.14,43158.14,1361383
24-0015-A0001-3,Managing Sage-Grouse and Wind Energy in Wyoming,644848.08,644848.08,566709.9,566709.9,78138.18,78138.18,1361383
24-0175-A0001-0,UW Wastewater testing LAB,600000,600000,500000,500000,100000,100000,600000
24-0175-A0001-1,UW Wastewater testing LAB,600000,600000,500000,500000,100000,100000,600000
24-0304-A0001-0,"EHCW, Casper Fire EMS, and Blue Envelope Health Fund Car/Booster Seat Collaboration",18500,,,,,,
24-0304-A0001-1,"EHCW, Casper Fire EMS, and Blue Envelope Health Fund Car/Booster Seat Collaboration",18500,,,,,,
24-0304-A0001-2,"EHCW, Casper Fire EMS, and Blue Envelope Health Fund Car/Booster Seat Collaboration",27750,27750,27750,27750,,0,27750
24-0304-A0001-3,"EHCW, Casper Fire EMS, and Blue Envelope Health Fund Car/Booster Seat Collaboration",27750,27750,27750,27750,,0,27750
23-0831-A0001,Wyoming Amphibian Field Guide,14000,,,,,,
24-0291-A0002-0,"BII: Life without water: Protecting macromolecules, cells, and organisms during desiccation and rehydration across kingdoms of life",208107,832429,144019,576075,256353,64088,832429
24-0291-A0002-1,"BII: Life without water: Protecting macromolecules, cells, and organisms during desiccation and rehydration across kingdoms of life",208107,832429,144019,576075,256353,64088,832429
24-0291-A0002-2,"BII: Life without water: Protecting macromolecules, cells, and organisms during desiccation and rehydration across kingdoms of life",605629.56,832429,419120.8,576075,256353,186508.76,832429
23-0135-A0001,FFY18 (2017-2022) EFNEP Main,275921,,,,,,
23-1710-A0001-0,WY FY2023 CAPS Infrastructure,20233,20233,18394,18394,1839,1839,20233
23-1710-A0001-1,WY FY2023 CAPS Infrastructure,80933,80933,73575,73575,7358,7358,80933
24-0665-A0001-0,Start-Up Funds for Wildlife Pathologist,225000,225000,225000,225000,0,0,225000
24-0665-A0001-1,Start-Up Funds for Wildlife Pathologist,225000,225000,225000,225000,0,0,225000
24-0665-A0001-2,Start-Up Funds for Wildlife Pathologist,225000,225000,225000,225000,0,0,225000
23-1616-A0001-0,StateView Program Development and Operations for the State of Wyoming (2023),25500,25500,21675,21675,3825,3825,25500
23-1616-A0001-1,StateView Program Development and Operations for the State of Wyoming (2023),25500,25500,21675,21675,3825,3825,25500
23-1616-A0001-2,StateView Program Development and Operations for the State of Wyoming (2023),51000,51000,43350,43350,7650,7650,51000
24-0847-A0001,Equivant - Statistical Support Projects,29500,29500,29500,29500,0,0,29500
23-1069-A0001-0,Citizen Science Forest Recovery on Grand Bahama,62282.65,,,,,,
23-1069-A0001-1,Citizen Science Forest Recovery on Grand Bahama,62282.65,62282.65,58249.68,58249.68,4032.97,4032.97,62282.65
23-1025-A0001,Partnership for Public Sector Folklore Position 21-22,8000,,,,,,
23-1801-A0001-0,Quantifying effects of land cover change- climate interactions on ecosystem productivity over Western North America,7851,7851,7851,7851,0,0,31402
23-1801-A0001-1,Quantifying effects of land cover change- climate interactions on ecosystem productivity over Western North America,31402,31402,31402,31402,0,0,31402
24-0666-A0001-0,Evaluating the Economic Impact of Grid United's Wyoming Intertie High Voltage Transmission Line,20100,20100,15000,15000,5100,5100,20100
24-0666-A0001-1,Evaluating the Economic Impact of Grid United's Wyoming Intertie High Voltage Transmission Line,20100,20100,15000,15000,5100,5100,20100
24-0404-A0001-0,Andean Archaeology,2813850,28138.5,28138.5,28138.5,0,0,28140
24-0404-A0001-1,Andean Archaeology,28138.5,28138.5,28138.5,28138.5,0,0,28140
24-0404-A0001-2,Andean Archaeology,28138.5,28138.5,28138.5,28138.5,0,0,28140
23-0991-A0001-0,Insights from ARM observations into aerosol processing and transport by extratropical cyclones and aerosol effects on cyclone clouds,128495,,,,,,
23-0991-A0001-1,Insights from ARM observations into aerosol processing and transport by extratropical cyclones and aerosol effects on cyclone clouds,202475,202475,149076,,,53399,
23-0991-A0001-2,Insights from ARM observations into aerosol processing and transport by extratropical cyclones and aerosol effects on cyclone clouds,202475,202475,149076,149076,53399,53399,202475
23-0105-A0001,Collaborative Research: Causes and Consequences of Fireâ€�regime Variability in Rocky Mountain Forests,177009,,,,,,
23-0561-A0001,American Speech-Language-Hearing Association Advancing Academic Research Careers Award,5000,,,,,,
24-0142-A0013,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,120000,120000,100000,100000,20000,20000,120000
23-1862-A0001-0,Wyoming Range Mule Deer Project,10000,10000,10000,10000,0,0,10000
23-1862-A0001-1,Wyoming Range Mule Deer Project,10000,10000,10000,10000,0,0,10000
24-0371-A0001,Wyoming and Eastern Colorado Junior Science and Humanities Symposium (JSHS),7575,7575,7575,7575,0,0,7575
23-1263-A0001-0,CESU Pollination of Sessileflower Indian Parsley,28784,,,,,,
23-1263-A0001-1,CESU Pollination of Sessileflower Indian Parsley,52349,52349,44552,44552,7797,7797,52349
23-0061-A0001,Collaborative Research and Education on Synergized Transformational Solar Chemical Looping and Photo-Ultrasonic Renewable Biomass Refinery,1399418.81,,,,,,
23-0633-A0001,"Creation of Ranch Enterprise Budgets for Selected MLRAs for CEAP-Grazing Land Modeling and Ecosystem Service Valuation Estimates, and other NRCS Conservation Planning Needs. ROMO CESU NRC19CPT0010123.",280000,,,,,,
23-0575-A0001,GRPL-CESU: Surveillance for the White-nose Syndrome Fungus in Multiple Northern Great Plains Parks,260000,,,,,,
23-0764-A0001,Topic 2a Hardening of high performance computing software tools developed by the Office of Advanced Scientific Computing Research-CCUS,2166.09,,,,,,
23-0186-A0001,Surveys for Glacier Stonefly on the Shoshone and Bighorn National Forests,27000,,,,,,
24-1028-A0001,Sustainability of rangeland communities adjacent to mature and old growth forests,157966,157966,157966,157966,0,0,228096.16
24-0142-A0015,Wyoming Innovation Partnership (WIP) | Phase II & Phase III,222845,222845,185704,185704,37141,37141,222845
23-1221-A0004,Trail Construction with Pilot Hill Inc. Master Agreement,15000,15000,14286,14286,714,714,15000
23-0790-A0001,FY 21 WY NAHLN Infrastructure,132629.3,,,,,,
24-1037-A0001,EIDU Personalisation Research Proposal,50000,50000,45455,45455,4545,4545,50000
23-0463-A0001-0,University of Wyoming Resident Elk Herd Study,30000,,,,,,
23-0463-A0001-1,University of Wyoming Resident Elk Herd Study,30000,30000,27443.81,27444,2556,2556.19,30000
23-0177-A0001,Characterization of Respiratory Pathogens in Wyoming Bighorn Sheep Using Mass Spectrometry and Sequencing,29800,,,,,,
23-0327-A0001,Chronic Disease Prevention 1815 Evaluation Services,600000,,,,,,
24-0475-A0001,"CATALYST-ENHANCED, SUSTAINABLE H2 PRODUCTION FROM FE-RICH ROCKS: AN EXPERIMENTAL AND QUANTITATIVE RESOURCE ASSESSMENT",371025,371025,268216,268216,102809,102809,649822
