"Proposal #","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Project #","Created Date","Total Sponsor Costs","Sponsor Deadline","add new prime sponsor","add new sponsor","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Proposal Id","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Closed","Funded","Not Submitted to Sponsor","Submitted to Sponsor","In Development","Under Consideration","Transfer","Under Review","Approved","Total_submitted_to_sponsor"
"23-1351-P0001","2022 FY 2022 State Justice Statistics Program for Statistical Analysis Centers",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1351","4/27/2023 07:59:10 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:59:09 PM > 4/27/2023 07:59:13 PM","Status set by bulk loader",NA,"9990dc1c-e3d9-49f7-af44-3e7f1f7cc038","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231351A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1240-P0001","2022 Fulbright International Visiting Scholar Program for Iraq",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1240","4/27/2023 07:51:04 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:51:04 PM > 4/27/2023 07:51:07 PM","Status set by bulk loader",NA,"f26955b9-73ba-4de6-a349-f42e27af6234","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231240A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1097-P0001","2022 Montana Behavioral Risk Factor Surveillance System (BRFSS) survey",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1097","4/27/2023 07:41:00 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:40:59 PM > 4/27/2023 07:41:03 PM","Status set by bulk loader",NA,"8422c3e4-fe91-4304-abe5-3950b46595b1","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231097A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1214-P0001","2022 North Dakota Adult Tobacco Survey",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1214","4/27/2023 07:49:02 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:49:02 PM > 4/27/2023 07:49:05 PM","Status set by bulk loader",NA,"583e4374-60e9-4e7c-864b-913b86fec4cb","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231214A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1493-P0001","2022 North Dakota Adult Tobacco Survey (continuation)",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1493","4/27/2023 08:11:24 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 08:11:24 PM > 4/27/2023 08:11:28 PM","Status set by bulk loader",NA,"1fa9cde0-8e36-41e0-8540-0c9108bbb74a","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231493A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1152-P0001","2022 Pesticide Safety Education Funds Management Program (PSEFMP)",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1152","4/27/2023 07:44:47 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:44:47 PM > 4/27/2023 07:44:50 PM","Status set by bulk loader",NA,"74dd5b6e-f58a-4c3d-90a9-0dc803d052e7","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231152A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1293-P0001","2022 STARTALK Grant Program - University of Wyoming",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1293","4/27/2023 07:55:13 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:55:12 PM > 4/27/2023 07:55:15 PM","Status set by bulk loader",NA,"cf0062a0-5891-4e48-bde9-7df4a4c42ca2","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231293A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1223-P0002","2022 WYCC Vegetation Management Crew at Grand Teton National Park","James A. Fried","Haub School of Environment & Natural Resources","Funded","The Corps Network","National Park Service/Department of the Interior","Haub School of Environment & Natural Resources","3/1/2023","12/31/2023","Non-Competing Continuation","23-1223","6/19/2023 01:47:29 PM","60000","2/22/2023 12:00:00 AM",NA,NA,"2023 WYCC Vegetation Management Crew at Grand Teton National Park","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded > Assigned to SP Proposal Administrator: Ashley Schnell","Ashley Schnell > James Fried > Farrell Jean Rapp","6/19/2023 01:47:28 PM > 6/19/2023 02:25:17 PM > 6/19/2023 02:28:25 PM > 6/19/2023 03:09:32 PM > 6/19/2023 03:13:24 PM > 6/20/2023 09:14:33 AM > 6/21/2023 10:07:52 AM","Legacy, submitted to sponsor > Award received",NA,"2a078a2d-d705-487e-9ec6-7c7174fb556a",NA,NA,"6/19/2023 03:09:33 PM > 6/19/2023 02:35:54 PM > 6/19/2023 02:35:32 PM > 6/19/2023 02:35:25 PM > 6/19/2023 02:28:25 PM > 6/19/2023 02:26:06 PM","Approved > Certified","20000","57143","2857","80000","A Subrecipient","No",2023-06-19 15:13:24,"2023-06-20 09:14:33","60000","57143","2857","80000","FY2023","231223A0002",60000,"5TDC","Haub School of Environment & Natural Resources",0,1,0,0,0,0,0,0,0,1
"23-1281-P0001","2022 Wage Gap in Wyoming",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1281","4/27/2023 07:54:18 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:54:18 PM > 4/27/2023 07:54:22 PM","Status set by bulk loader",NA,"df7548fa-08ad-465b-8d64-7b627fdfc929","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231281A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1187-P0001","2022 and 2023 Synar Inspection, Coverage Study, and Synar Analysis Services",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1187","4/27/2023 07:47:11 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:47:11 PM > 4/27/2023 07:47:14 PM","Status set by bulk loader",NA,"8757063b-d6e2-4ecc-9d3d-1d88b8094be5","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231187A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-0975-P0001","2022 through 2026 Synar Inspection, Coverage Study, and Synar Analysis Services","Lena Kathleen Dechert","Wyoming Survey & Analysis Center","Not Submitted to Sponsor","Wyoming Department of Health",NA,"Wyoming Survey & Analysis Center","5/16/2022","6/30/2026",NA,"24-0975","4/24/2024 10:12:07 AM","160000","4/25/2024 12:00:00 AM",NA,NA,"2022 through 2026 Synar Inspection, Coverage Study, and Synar Analysis Services","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Closed. Resolution set to: PI Abandoned","Lena Kathleen Dechert > Tashina Lemons","4/24/2024 10:12:07 AM > 4/24/2024 11:01:13 AM > 4/24/2024 11:35:37 AM","Legacy loaded information, had to update all information within the Award side of RW and ensure that Pi was loaded. Closing for prosperity.",NA,"e751fc95-b6c2-42d1-87cf-0c10f0b87391","PI Abandoned",NA,NA,"Not Completed",NA,"133333.33","26666.67","320000",NA,"Yes",NA,NA,"160000","133333.33","26666.67","320000",NA,"240975A0001",NA,NA,"Research",0,0,1,0,0,0,0,0,0,0
"23-1316-P0002","2022-2023 IOLTA Grant","Dona Playton","College of Law Deans Office","Funded","Equal Justice Wyoming Foundation",NA,"College of Law Deans Office","7/1/2023","6/30/2024","Renewal","23-1316","6/29/2023 09:16:08 AM","10500","4/29/2022 12:00:00 AM",NA,NA,"2023-2024 IOLTA Grant","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Ashley Schnell > Dona Playton > Farrell Jean Rapp > Farrell Rapp","6/29/2023 09:16:08 AM > 6/29/2023 09:36:46 AM > 7/13/2023 04:19:23 PM > 7/14/2023 11:29:59 AM > 7/26/2023 02:44:43 PM > 7/26/2023 02:44:52 PM","Legacy. > Awarded.",NA,"ed136a6b-5522-46b7-9045-efbbb332cdfd",NA,NA,"7/14/2023 11:29:59 AM > 7/14/2023 07:43:55 AM > 7/13/2023 04:59:45 PM > 7/13/2023 04:19:23 PM > 6/29/2023 09:42:30 AM","Approved > Certified",NA,"10500","0","10500",NA,"Yes",2023-07-26 14:44:43,"2023-07-26 14:44:52","10500","10500","0","10500","FY2024","231316A0002",10458.86,"NONE","College of Law",0,1,0,0,0,0,0,0,0,1
"24-0183-P0001","2023 NAPCS Survey","Brian J. Harnisch","Wyoming Survey & Analysis Center","Funded","ADD NEW",NA,"Wyoming Survey & Analysis Center","8/18/2023","1/31/2024","New","24-0183","8/18/2023 10:39:14 AM","10629.62","8/25/2023 12:00:00 AM",NA,"National Alliance for Public Charter Schools","2023 NAPCS pre and post surveys","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Under Consideration to Funded","Brian J. Harnisch > Michael D. Dorssom > Farrell Jean Rapp > Tashina Lemons","8/18/2023 10:39:14 AM > 8/18/2023 10:52:10 AM > 8/21/2023 03:50:28 PM > 8/22/2023 01:16:52 PM > 8/22/2023 02:35:03 PM > 9/5/2023 09:42:10 AM > 9/5/2023 09:42:23 AM > 9/20/2023 01:59:30 PM","Submitted to Sponsor 8.25.23 > Currently in contract review > Agreement recieved.",NA,"b2e44c65-1685-4e6f-910b-1ef98d4cd779",NA,NA,"8/22/2023 02:35:04 PM > 8/22/2023 01:21:00 PM > 8/22/2023 01:20:53 PM > 8/22/2023 01:20:48 PM > 8/22/2023 01:16:52 PM > 8/21/2023 03:50:28 PM > 8/21/2023 02:40:11 PM","Approved > Certified > Not Yet Active",NA,"7932.55","2697.07","10629.62",NA,"Yes",2023-09-05 09:42:10,"2023-09-20 13:59:30","10629.62","7932.55","2697.07","10629.62","FY2024","240183A0001",10629.62,"34MTDC1","Research",0,1,0,0,0,0,0,0,0,1
"23-1565-P0001","2023 PROJECT GO FALL ANNUAL MEETING","Eric John Nigh","Politics Public Affairs & International Studies","Not Submitted to Sponsor","Institute of International Education, Inc.",NA,"Politics Public Affairs & International Studies","4/15/2023","1/31/2024","New","23-1565","6/5/2023 04:33:23 PM","224898","3/31/2023 12:00:00 AM",NA,NA,"The University of Wyoming Project GO Annual Meeting and MOPI Workshops","Proposal Created > Assigned to SP Proposal Administrator: Shauna Bury > Status was changed from: In Development to Closed. Resolution set to: PI Abandoned","Bryce Howard > Tashina Lemons > Farrell Rapp","6/5/2023 04:33:22 PM > 6/12/2023 02:00:54 PM > 7/24/2023 02:05:49 PM","Moved to 24-0096-P0003",NA,"b7951f64-ab45-4072-9e93-1fef4d37afd6","PI Abandoned",NA,"6/5/2023 04:43:56 PM","Cancelled > Not Yet Active",NA,"164834","57063","224898",NA,"Yes",NA,NA,"224898","164834","57063","224898",NA,"231565A0001",NA,NA,"College of Arts & Sciences",0,0,1,0,0,0,0,0,0,0
"23-1745-P0001","2023 Sloan Research Fellowship","Diksha Shukla","Electrical Engineering & Computer Science","Submitted to Sponsor","ADD NEW",NA,"Electrical Engineering & Computer Science","9/15/2023","9/14/2025","New","23-1745","6/22/2023 03:54:15 PM","75000","9/15/2022 12:00:00 AM",NA,"Alfred P. Sloan Foundation","2023 Sloan Research Fellowship","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Tashina Lemons > John Ruess > Farrell Jean Rapp","6/22/2023 03:54:15 PM > 3/15/2024 11:23:00 AM > 12/23/2024 10:17:33 AM","Legacy submission, see greensheet in attachments > Assuming not funded, as it’s been over 12 months since submission with no updates.",NA,"0a3c86b8-2ac5-45ac-8968-f3059a9cbe52","Not Funded",NA,NA,"Not Completed",NA,"75000","0","75000",NA,"Yes",NA,NA,"75000","75000","0","75000",NA,"231745A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,0,1
"23-1963-P0001","2023 State Justice Statistics","Laurel Allison Wimbish","Wyoming Survey & Analysis Center","Funded","Department of Justice",NA,"Wyoming Survey & Analysis Center","10/1/2023","9/30/2024","New","23-1963","6/30/2023 04:16:02 PM","224316","6/8/2023 12:00:00 AM",NA,NA,"2023 State Justice Statistics","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Under Consideration to Funded","Tashina Lemons > Farrell Jean Rapp","6/30/2023 04:16:02 PM > 9/18/2023 03:16:51 PM > 9/18/2023 03:30:46 PM > 10/3/2023 09:35:39 AM","Legacy 2023 Data, Greensheet attached, already submitted to sponsor > Notice of Award recieved > Funded.",NA,"2e4d9238-f5a7-496d-829d-c05713dca1db",NA,NA,"9/18/2023 03:16:01 PM","Cancelled > Not Yet Active",NA,"167400","56916","224316",NA,"Yes",2023-09-18 15:16:51,"2023-10-03 09:35:39","224316","167400","56916","224316","FY2024","231963A0001",224316,"34MTDC1","Research",0,1,0,0,0,0,0,0,0,1
"23-1406-P0003","2023 Title III-D Evidence-Based Program Delivery","Christine L. McKibbin","Psychology","Funded","Wyoming Department of Health",NA,"Psychology","10/1/2022","9/30/2023","New","23-1406","6/30/2023 01:24:38 PM","30000","7/15/2022 12:00:00 AM",NA,NA,"Wyoming Department of Health: Title III-D","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Not Funded","Ashley Schnell > Tashina Lemons > Farrell Jean Rapp","6/30/2023 01:24:37 PM > 7/3/2023 11:46:36 AM > 12/23/2024 09:46:17 AM","Legacy data (FY23) submitted to sponsor 7/14/22 > Assuming not funded since more than 12 months have passed since submission.",NA,"6e3bdc2a-2317-4de3-a1a4-6d183450af82","Not Funded",NA,"7/3/2023 11:44:29 AM","Cancelled > Not Completed",NA,"30000","0","30000",NA,"Yes",NA,NA,"30000","30000","0","30000",NA,"231406A0003",NA,NA,"College of Arts & Sciences",0,1,0,0,0,0,0,0,0,1
"23-1433-P0001","2023 Wyoming Crossroads Grant",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-1433","4/27/2023 08:04:46 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 08:04:46 PM > 4/27/2023 08:04:49 PM","Status set by bulk loader",NA,"0a577ecd-31b8-4d93-b0b4-efffff305e32","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231433A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"24-0861-P0002","2024 CAPS Infrastructure","Douglas Isaac Smith","Ecosystem Science & Management","Funded","Animal and Plant Health Inspection Service/Department of Agriculture",NA,"Ecosystem Science & Management","2/1/2024","1/31/2025","Renewal","24-0861","2/29/2024 01:35:50 PM","80933","8/4/2023 12:00:00 AM",NA,NA,"2024 Cooperative Agricultural Pest Survey (CAPS) Infrastructure","Proposal Created > Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: Kasi Smart > Status was changed from: Under Review to In Development > Unassigned from SP Proposal Administrator: Kasi Smart > Assigned to SP Proposal Administrator: Tashina Lemons > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded > Unassigned from SP Proposal Administrator: Tashina Lemons > Assigned to SP Proposal Administrator: John Ruess","Tashina Lemons > Douglas Isaac Smith > Farrell Jean Rapp > Inna Willis","2/29/2024 01:35:49 PM > 3/19/2024 04:23:59 PM > 3/22/2024 09:32:19 AM > 3/29/2024 09:52:49 AM > 3/29/2024 11:00:29 AM > 3/29/2024 11:16:43 AM > 3/29/2024 11:17:09 AM > 3/29/2024 11:18:00 AM > 3/29/2024 11:18:07 AM > 3/29/2024 11:37:35 AM > 3/29/2024 03:15:31 PM > 4/11/2024 01:53:19 PM > 4/22/2024 04:40:03 PM > 7/29/2024 01:45:31 PM > 7/29/2024 01:45:35 PM","Updates to budget tab > Updates to proposal tab > Previously submitted to sponsor 8/4/23; no pre-award review > Funded. Sponsor approved Pre-Award spending.",NA,"1f4633cb-2bba-4755-8cbc-83b6233cdaad",NA,NA,"3/29/2024 09:49:42 AM > 3/29/2024 11:17:17 AM > 3/29/2024 11:37:35 AM > 3/29/2024 11:41:16 AM > 3/29/2024 11:41:02 AM > 3/29/2024 03:15:31 PM","Approved > Certified","25008","73575","7358","80933","A collaborative proposal","Yes",2024-04-11 13:53:19,"2024-04-22 16:40:03","80933","73575","7358","80933","FY2024","240861A0002",80933,"10TDC","College of Agriculture, Life Sciences & Natural Resources",0,1,0,0,0,0,0,0,0,1
"24-0694-P0001","2024 DOE Building EPSCoR-State/National Laboratory Partnerships","TeYu Chien","Physics & Astronomy","Submitted to Sponsor","Office of Science/U.S. Department of Energy",NA,"Physics & Astronomy","8/1/2024","7/31/2028","New","24-0694","1/13/2024 04:17:17 PM","1e+06","2/28/2024 12:00:00 AM",NA,NA,"Integrating Novel Magnetic Spin Textures with Superconductors for Skyrmion-Superconductor Hybrid Systems","Proposal Created > Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","TeYu Chien > Thomas Abraham Lentner > Alexander Paul Petrovic > Jinke Tang > Jifa Tian > Farrell Jean Rapp","1/13/2024 04:17:17 PM > 1/14/2024 04:02:06 PM > 1/17/2024 09:52:17 AM > 1/25/2024 08:44:09 AM > 2/27/2024 01:13:51 PM > 2/27/2024 01:17:03 PM > 2/27/2024 01:21:55 PM > 2/27/2024 02:01:54 PM > 2/28/2024 09:15:20 AM > 2/28/2024 10:58:16 AM > 2/28/2024 01:46:15 PM","Moving back to ""in-development"" pending approval to submit full proposal. > Submitted at 1:45 on 02/28/2024",NA,"de365d6f-78d4-4546-ba32-f34ed4daa366",NA,"minor revisions to technical narrative pending.  To be completed prior to submission","2/27/2024 01:14:18 PM > 2/28/2024 09:15:20 AM > 2/27/2024 02:01:54 PM > 2/27/2024 01:21:55 PM > 2/27/2024 01:17:03 PM > 2/28/2024 09:19:46 AM > 2/28/2024 09:19:34 AM > 2/28/2024 10:45:26 AM > 2/28/2024 10:58:16 AM","Approved > Certified",NA,"745650","254350","1e+06",NA,"Yes",2024-02-28 13:46:15,NA,"1000000","745650","254350","1000000","FY2024","240694A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,0,1
"24-0657-P0001","2024 EPCN","Zejian Zhou","Electrical Engineering & Computer Science","Not Submitted to Sponsor",NA,NA,NA,NA,NA,NA,"24-0657","12/18/2023 09:34:11 PM",NA,NA,NA,NA,NA,"Proposal Created > Assigned to SP Proposal Administrator: John Ruess > Status was changed from: In Development to Closed. Resolution set to: PI Abandoned","Zejian Zhou > Tashina Lemons > Janissa Marie Analissia Martinez","12/18/2023 09:34:10 PM > 3/11/2024 09:42:04 AM > 10/18/2024 04:26:38 PM","No information and no communication since last December.",NA,"ba665f28-3ab8-4bb2-9dd4-fdbdc25b7163","PI Abandoned",NA,NA,"Not Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"240657A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,1,0,0,0,0,0,0,0
"24-0859-P0001","2024 Judicial Performance Assessment (JPA)","Brian J. Harnisch","Wyoming Survey & Analysis Center","Funded","Wyoming State Bar",NA,"Wyoming Survey & Analysis Center","3/25/2024","11/30/2024","New","24-0859","2/28/2024 12:39:11 PM","23120.29","3/25/2024 12:00:00 AM",NA,NA,"2024 Judicial Performance Assessment (JPA)","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Brian J. Harnisch > Tashina Lemons > Farrell Jean Rapp > Kristi Hargis Stockdale","2/28/2024 12:39:10 PM > 2/29/2024 10:36:22 AM > 3/19/2024 10:48:51 AM > 3/19/2024 11:11:28 AM > 3/19/2024 12:44:40 PM > 3/22/2024 02:51:35 PM > 5/8/2024 11:21:20 AM","Confirmed with PI, documents provided to sponsor. > Funded",NA,"2613486a-75d6-4d2a-9e78-83f95b265055",NA,NA,"3/19/2024 10:49:02 AM > 3/19/2024 11:11:28 AM > 3/19/2024 11:11:35 AM > 3/19/2024 11:16:31 AM > 3/19/2024 12:44:40 PM","Approved > Certified",NA,"19266.91","3853.38","23120.29",NA,"Yes",2024-03-22 14:51:35,"2024-05-08 11:21:20","23120.29","19266.91","3853.38","23120.29","FY2024","240859A0001",23120,"20TDC","Research",0,1,0,0,0,0,0,0,0,1
